Elements,Time,Distribution
100,24,ASCENDING
100,13,DESCENDING
100,13,ASHAPE
100,13,VSHAPE
200,44,UNIFORM
200,33,CONSTANT
200,33,ASCENDING
200,34,DESCENDING
200,35,ASHAPE
200,33,VSHAPE
300,70,UNIFORM
300,53,CONSTANT
300,50,ASCENDING
300,51,DESCENDING
300,50,ASHAPE
300,49,VSHAPE
400,91,UNIFORM
400,68,CONSTANT
400,70,ASCENDING
400,70,DESCENDING
400,66,ASHAPE
400,68,VSHAPE
500,198,UNIFORM
500,158,CONSTANT
500,127,ASCENDING
500,127,DESCENDING
500,78,ASHAPE
500,80,VSHAPE
600,144,UNIFORM
600,103,CONSTANT
600,98,ASCENDING
600,102,DESCENDING
600,104,ASHAPE
600,105,VSHAPE
700,165,UNIFORM
700,119,CONSTANT
700,117,ASCENDING
700,149,DESCENDING
700,118,ASHAPE
700,119,VSHAPE
800,192,UNIFORM
800,133,CONSTANT
800,130,ASCENDING
800,133,DESCENDING
800,138,ASHAPE
800,136,VSHAPE
900,237,UNIFORM
900,161,CONSTANT
900,148,ASCENDING
900,149,DESCENDING
900,154,ASHAPE
900,147,VSHAPE
100,21,UNIFORM
100,14,CONSTANT
100,13,ASCENDING
100,13,DESCENDING
100,13,ASHAPE
100,13,VSHAPE
200,44,UNIFORM
200,35,CONSTANT
200,33,ASCENDING
200,33,DESCENDING
200,36,ASHAPE
200,33,VSHAPE
300,72,UNIFORM
300,62,CONSTANT
300,54,ASCENDING
300,57,DESCENDING
300,55,ASHAPE
300,53,VSHAPE
400,92,UNIFORM
400,73,CONSTANT
400,70,ASCENDING
400,79,DESCENDING
400,133,ASHAPE
400,75,VSHAPE
500,124,UNIFORM
500,92,CONSTANT
500,88,ASCENDING
500,89,DESCENDING
500,86,ASHAPE
500,88,VSHAPE
600,148,UNIFORM
600,110,CONSTANT
600,152,ASCENDING
600,107,DESCENDING
600,104,ASHAPE
600,105,VSHAPE
700,214,UNIFORM
700,187,CONSTANT
700,161,ASCENDING
700,170,DESCENDING
700,193,ASHAPE
700,181,VSHAPE
800,293,UNIFORM
800,230,CONSTANT
800,221,ASCENDING
800,224,DESCENDING
800,221,ASHAPE
800,223,VSHAPE
900,224,UNIFORM
900,168,CONSTANT
900,154,ASCENDING
900,199,DESCENDING
900,247,ASHAPE
900,238,VSHAPE
100,26,UNIFORM
100,23,CONSTANT
100,22,ASCENDING
100,21,DESCENDING
100,26,ASHAPE
100,22,VSHAPE
200,60,UNIFORM
200,48,CONSTANT
200,48,ASCENDING
200,48,DESCENDING
200,50,ASHAPE
200,47,VSHAPE
300,95,UNIFORM
300,80,CONSTANT
300,74,ASCENDING
300,76,DESCENDING
300,73,ASHAPE
300,74,VSHAPE
400,129,UNIFORM
400,103,CONSTANT
400,99,ASCENDING
400,105,DESCENDING
400,100,ASHAPE
400,103,VSHAPE
500,173,UNIFORM
500,133,CONSTANT
500,169,ASCENDING
500,134,DESCENDING
500,129,ASHAPE
500,131,VSHAPE
600,215,UNIFORM
600,163,CONSTANT
600,164,ASCENDING
600,161,DESCENDING
600,159,ASHAPE
600,169,VSHAPE
700,250,UNIFORM
700,194,CONSTANT
700,191,ASCENDING
700,181,DESCENDING
700,188,ASHAPE
700,203,VSHAPE
800,289,UNIFORM
800,5930,CONSTANT
800,230,ASCENDING
800,215,DESCENDING
800,217,ASHAPE
800,216,VSHAPE
900,324,UNIFORM
900,252,CONSTANT
900,253,ASCENDING
900,233,DESCENDING
900,247,ASHAPE
900,245,VSHAPE
100,21,UNIFORM
100,14,CONSTANT
100,12,ASCENDING
100,16,DESCENDING
100,13,ASHAPE
100,12,VSHAPE
200,44,UNIFORM
200,35,CONSTANT
200,33,ASCENDING
200,33,DESCENDING
200,35,ASHAPE
200,33,VSHAPE
300,70,UNIFORM
300,52,CONSTANT
300,48,ASCENDING
300,53,DESCENDING
300,49,ASHAPE
300,49,VSHAPE
400,92,UNIFORM
400,70,CONSTANT
400,66,ASCENDING
400,70,DESCENDING
400,66,ASHAPE
400,68,VSHAPE
500,128,UNIFORM
500,88,CONSTANT
500,83,ASCENDING
500,86,DESCENDING
500,86,ASHAPE
500,88,VSHAPE
600,152,UNIFORM
600,105,CONSTANT
600,104,ASCENDING
600,103,DESCENDING
600,102,ASHAPE
600,101,VSHAPE
700,170,UNIFORM
700,123,CONSTANT
700,157,ASCENDING
700,134,DESCENDING
700,117,ASHAPE
700,122,VSHAPE
800,297,UNIFORM
800,237,CONSTANT
800,226,ASCENDING
800,226,DESCENDING
800,277,ASHAPE
800,236,VSHAPE
900,231,UNIFORM
900,171,CONSTANT
900,160,ASCENDING
900,162,DESCENDING
900,199,ASHAPE
900,159,VSHAPE
100,26,UNIFORM
100,22,CONSTANT
100,33,ASCENDING
100,26,DESCENDING
100,13,ASHAPE
100,13,VSHAPE
200,39,UNIFORM
200,29,CONSTANT
200,40,ASCENDING
200,29,DESCENDING
200,28,ASHAPE
200,28,VSHAPE
300,66,UNIFORM
300,45,CONSTANT
300,47,ASCENDING
300,46,DESCENDING
300,55,ASHAPE
300,45,VSHAPE
400,94,UNIFORM
400,68,CONSTANT
400,66,ASCENDING
400,73,DESCENDING
400,68,ASHAPE
400,73,VSHAPE
500,122,UNIFORM
500,87,CONSTANT
500,82,ASCENDING
500,88,DESCENDING
500,86,ASHAPE
500,88,VSHAPE
600,139,UNIFORM
600,117,CONSTANT
600,105,ASCENDING
600,108,DESCENDING
600,108,ASHAPE
600,107,VSHAPE
700,167,UNIFORM
700,127,CONSTANT
700,123,ASCENDING
700,120,DESCENDING
700,123,ASHAPE
700,124,VSHAPE
800,191,UNIFORM
800,150,CONSTANT
800,152,ASCENDING
800,141,DESCENDING
800,149,ASHAPE
800,132,VSHAPE
900,217,UNIFORM
900,153,CONSTANT
900,183,ASCENDING
900,158,DESCENDING
900,189,ASHAPE
900,171,VSHAPE
1000,245,UNIFORM
1000,181,CONSTANT
1000,175,ASCENDING
1000,171,DESCENDING
1000,181,ASHAPE
1000,179,VSHAPE
1100,278,UNIFORM
1100,204,CONSTANT
1100,203,ASCENDING
1100,207,DESCENDING
1100,200,ASHAPE
1100,203,VSHAPE
1200,302,UNIFORM
1200,221,CONSTANT
1200,213,ASCENDING
1200,205,DESCENDING
1200,210,ASHAPE
1200,216,VSHAPE
1300,326,UNIFORM
1300,238,CONSTANT
1300,227,ASCENDING
1300,218,DESCENDING
1300,231,ASHAPE
1300,243,VSHAPE
1400,386,UNIFORM
1400,264,CONSTANT
1400,239,ASCENDING
1400,255,DESCENDING
1400,245,ASHAPE
1400,250,VSHAPE
1500,446,UNIFORM
1500,276,CONSTANT
1500,259,ASCENDING
1500,263,DESCENDING
1500,269,ASHAPE
1500,261,VSHAPE
1600,411,UNIFORM
1600,294,CONSTANT
1600,290,ASCENDING
1600,272,DESCENDING
1600,282,ASHAPE
1600,286,VSHAPE
1700,446,UNIFORM
1700,317,CONSTANT
1700,307,ASCENDING
1700,293,DESCENDING
1700,296,ASHAPE
1700,280,VSHAPE
1800,469,UNIFORM
1800,341,CONSTANT
1800,324,ASCENDING
1800,311,DESCENDING
1800,310,ASHAPE
1800,306,VSHAPE
1900,501,UNIFORM
1900,353,CONSTANT
1900,353,ASCENDING
1900,326,DESCENDING
1900,325,ASHAPE
1900,330,VSHAPE
2000,529,UNIFORM
2000,369,CONSTANT
2000,365,ASCENDING
2000,338,DESCENDING
2000,347,ASHAPE
2000,345,VSHAPE
2100,563,UNIFORM
2100,405,CONSTANT
2100,362,ASCENDING
2100,360,DESCENDING
2100,365,ASHAPE
2100,364,VSHAPE
2200,591,UNIFORM
2200,411,CONSTANT
2200,406,ASCENDING
2200,417,DESCENDING
2200,377,ASHAPE
2200,382,VSHAPE
2300,535,UNIFORM
2300,393,CONSTANT
2300,432,ASCENDING
2300,395,DESCENDING
2300,397,ASHAPE
2300,393,VSHAPE
2400,649,UNIFORM
2400,449,CONSTANT
2400,441,ASCENDING
2400,407,DESCENDING
2400,406,ASHAPE
2400,406,VSHAPE
2500,686,UNIFORM
2500,463,CONSTANT
2500,420,ASCENDING
2500,425,DESCENDING
2500,424,ASHAPE
2500,422,VSHAPE
2600,696,UNIFORM
2600,484,CONSTANT
2600,478,ASCENDING
2600,434,DESCENDING
2600,436,ASHAPE
2600,487,VSHAPE
2700,751,UNIFORM
2700,504,CONSTANT
2700,460,ASCENDING
2700,505,DESCENDING
2700,647,ASHAPE
2700,599,VSHAPE
2800,757,UNIFORM
2800,526,CONSTANT
2800,522,ASCENDING
2800,503,DESCENDING
2800,523,ASHAPE
2800,477,VSHAPE
2900,718,UNIFORM
2900,504,CONSTANT
2900,500,ASCENDING
2900,500,DESCENDING
2900,497,ASHAPE
2900,500,VSHAPE
3000,813,UNIFORM
3000,562,CONSTANT
3000,561,ASCENDING
3000,506,DESCENDING
3000,508,ASHAPE
3000,556,VSHAPE
3100,865,UNIFORM
3100,580,CONSTANT
3100,522,ASCENDING
3100,526,DESCENDING
3100,525,ASHAPE
3100,519,VSHAPE
3200,788,UNIFORM
3200,551,CONSTANT
3200,547,ASCENDING
3200,549,DESCENDING
3200,547,ASHAPE
3200,593,VSHAPE
3300,1042,UNIFORM
3300,606,CONSTANT
3300,587,ASCENDING
3300,578,DESCENDING
3300,663,ASHAPE
3300,855,VSHAPE
3400,845,UNIFORM
3400,587,CONSTANT
3400,582,ASCENDING
3400,584,DESCENDING
3400,581,ASHAPE
3400,623,VSHAPE
3500,927,UNIFORM
3500,600,CONSTANT
3500,598,ASCENDING
3500,601,DESCENDING
3500,605,ASHAPE
3500,596,VSHAPE
3600,886,UNIFORM
3600,623,CONSTANT
3600,620,ASCENDING
3600,615,DESCENDING
3600,659,ASHAPE
3600,618,VSHAPE
3700,912,UNIFORM
3700,733,CONSTANT
3700,634,ASCENDING
3700,648,DESCENDING
3700,647,ASHAPE
3700,633,VSHAPE
3800,937,UNIFORM
3800,653,CONSTANT
3800,665,ASCENDING
3800,654,DESCENDING
3800,693,ASHAPE
3800,655,VSHAPE
3900,961,UNIFORM
3900,674,CONSTANT
3900,668,ASCENDING
3900,704,DESCENDING
3900,668,ASHAPE
3900,670,VSHAPE
4000,1024,UNIFORM
4000,684,CONSTANT
4000,683,ASCENDING
4000,689,DESCENDING
4000,687,ASHAPE
4000,712,VSHAPE
4100,1134,UNIFORM
4100,886,CONSTANT
4100,939,ASCENDING
4100,707,DESCENDING
4100,697,ASHAPE
4100,902,VSHAPE
4200,1037,UNIFORM
4200,781,CONSTANT
4200,731,ASCENDING
4200,802,DESCENDING
4200,771,ASHAPE
4200,827,VSHAPE
4300,1067,UNIFORM
4300,756,CONSTANT
4300,747,ASCENDING
4300,744,DESCENDING
4300,752,ASHAPE
4300,797,VSHAPE
4400,1102,UNIFORM
4400,765,CONSTANT
4400,759,ASCENDING
4400,1164,DESCENDING
4400,2409,ASHAPE
4400,1974,VSHAPE
4500,1158,UNIFORM
4500,867,CONSTANT
4500,797,ASCENDING
4500,827,DESCENDING
4500,781,ASHAPE
4500,781,VSHAPE
4600,1138,UNIFORM
4600,790,CONSTANT
4600,792,ASCENDING
4600,789,DESCENDING
4600,792,ASHAPE
4600,829,VSHAPE
4700,1195,UNIFORM
4700,910,CONSTANT
4700,891,ASCENDING
4700,818,DESCENDING
4700,816,ASHAPE
4700,819,VSHAPE
4800,1201,UNIFORM
4800,844,CONSTANT
4800,838,ASCENDING
4800,838,DESCENDING
4800,838,ASHAPE
4800,839,VSHAPE
4900,1223,UNIFORM
4900,857,CONSTANT
4900,872,ASCENDING
4900,851,DESCENDING
4900,855,ASHAPE
4900,851,VSHAPE
5000,2304,UNIFORM
5000,1119,CONSTANT
5000,867,ASCENDING
5000,1044,DESCENDING
5000,933,ASHAPE
5000,892,VSHAPE
5100,1374,UNIFORM
5100,1282,CONSTANT
5100,939,ASCENDING
5100,880,DESCENDING
5100,951,ASHAPE
5100,1219,VSHAPE
5200,1371,UNIFORM
5200,961,CONSTANT
5200,1014,ASCENDING
5200,891,DESCENDING
5200,912,ASHAPE
5200,962,VSHAPE
5300,1443,UNIFORM
5300,953,CONSTANT
5300,923,ASCENDING
5300,925,DESCENDING
5300,959,ASHAPE
5300,923,VSHAPE
5400,1354,UNIFORM
5400,1040,CONSTANT
5400,951,ASCENDING
5400,945,DESCENDING
5400,951,ASHAPE
5400,967,VSHAPE
5500,1381,UNIFORM
5500,968,CONSTANT
5500,982,ASCENDING
5500,970,DESCENDING
5500,971,ASHAPE
5500,1012,VSHAPE
5600,1490,UNIFORM
5600,986,CONSTANT
5600,1034,ASCENDING
5600,985,DESCENDING
5600,987,ASHAPE
5600,989,VSHAPE
5700,1784,UNIFORM
5700,1039,CONSTANT
5700,1113,ASCENDING
5700,1057,DESCENDING
5700,1017,ASHAPE
5700,1069,VSHAPE
5800,1529,UNIFORM
5800,1065,CONSTANT
5800,1028,ASCENDING
5800,1082,DESCENDING
5800,1096,ASHAPE
5800,1109,VSHAPE
5900,1562,UNIFORM
5900,1034,CONSTANT
5900,1033,ASCENDING
5900,1038,DESCENDING
5900,1090,ASHAPE
5900,1203,VSHAPE
6000,2028,UNIFORM
6000,1193,CONSTANT
6000,1260,ASCENDING
6000,1257,DESCENDING
6000,1095,ASHAPE
6000,1054,VSHAPE
6100,1547,UNIFORM
6100,1116,CONSTANT
6100,1193,ASCENDING
6100,1079,DESCENDING
6100,1091,ASHAPE
6100,1141,VSHAPE
6200,1704,UNIFORM
6200,1410,CONSTANT
6200,1128,ASCENDING
6200,1134,DESCENDING
6200,1091,ASHAPE
6200,1085,VSHAPE
6300,1790,UNIFORM
6300,1171,CONSTANT
6300,1108,ASCENDING
6300,1122,DESCENDING
6300,1253,ASHAPE
6300,2009,VSHAPE
6400,1860,UNIFORM
6400,1310,CONSTANT
6400,1281,ASCENDING
6400,1325,DESCENDING
6400,2164,ASHAPE
6400,2132,VSHAPE
6500,1700,UNIFORM
6500,1145,CONSTANT
6500,1151,ASCENDING
6500,1191,DESCENDING
6500,1146,ASHAPE
6500,1206,VSHAPE
6600,1734,UNIFORM
6600,1171,CONSTANT
6600,1173,ASCENDING
6600,1211,DESCENDING
6600,1163,ASHAPE
6600,1168,VSHAPE
6700,3388,UNIFORM
6700,1391,CONSTANT
6700,1237,ASCENDING
6700,1213,DESCENDING
6700,1210,ASHAPE
6700,1249,VSHAPE
6800,1796,UNIFORM
6800,1212,CONSTANT
6800,1216,ASCENDING
6800,1258,DESCENDING
6800,1213,ASHAPE
6800,1210,VSHAPE
6900,2969,UNIFORM
6900,2323,CONSTANT
6900,2509,ASCENDING
6900,2424,DESCENDING
6900,2484,ASHAPE
6900,2201,VSHAPE
7000,1838,UNIFORM
7000,1301,CONSTANT
7000,1247,ASCENDING
7000,1244,DESCENDING
7000,1285,ASHAPE
7000,1244,VSHAPE
7100,1856,UNIFORM
7100,1285,CONSTANT
7100,1252,ASCENDING
7100,1251,DESCENDING
7100,1283,ASHAPE
7100,1256,VSHAPE
7200,1845,UNIFORM
7200,1331,CONSTANT
7200,1271,ASCENDING
7200,1270,DESCENDING
7200,1351,ASHAPE
7200,1274,VSHAPE
7300,1877,UNIFORM
7300,1291,CONSTANT
7300,1372,ASCENDING
7300,1326,DESCENDING
7300,1921,ASHAPE
7300,1311,VSHAPE
7400,1903,UNIFORM
7400,1347,CONSTANT
7400,1313,ASCENDING
7400,1307,DESCENDING
7400,1417,ASHAPE
7400,1312,VSHAPE
7500,2051,UNIFORM
7500,1741,CONSTANT
7500,1369,ASCENDING
7500,1371,DESCENDING
7500,1329,ASHAPE
7500,1327,VSHAPE
7600,2064,UNIFORM
7600,1351,CONSTANT
7600,1349,ASCENDING
7600,1389,DESCENDING
7600,1352,ASHAPE
7600,1357,VSHAPE
7700,2032,UNIFORM
7700,1402,CONSTANT
7700,1518,ASCENDING
7700,1367,DESCENDING
7700,1368,ASHAPE
7700,1402,VSHAPE
7800,2105,UNIFORM
7800,1433,CONSTANT
7800,1387,ASCENDING
7800,1523,DESCENDING
7800,1461,ASHAPE
7800,1388,VSHAPE
7900,2107,UNIFORM
7900,1407,CONSTANT
7900,1468,ASCENDING
7900,1488,DESCENDING
7900,1554,ASHAPE
7900,1401,VSHAPE
8000,2067,UNIFORM
8000,1545,CONSTANT
8000,1425,ASCENDING
8000,1407,DESCENDING
8000,1443,ASHAPE
8000,1409,VSHAPE
8100,2090,UNIFORM
8100,1451,CONSTANT
8100,1422,ASCENDING
8100,1461,DESCENDING
8100,1427,ASHAPE
8100,1426,VSHAPE
8200,2383,UNIFORM
8200,1446,CONSTANT
8200,1513,ASCENDING
8200,1440,DESCENDING
8200,1487,ASHAPE
8200,1462,VSHAPE
8300,2186,UNIFORM
8300,1461,CONSTANT
8300,1463,ASCENDING
8300,1502,DESCENDING
8300,1463,ASHAPE
8300,1690,VSHAPE
8400,2210,UNIFORM
8400,1510,CONSTANT
8400,2217,ASCENDING
8400,3976,DESCENDING
8400,1594,ASHAPE
8400,1519,VSHAPE
8500,2209,UNIFORM
8500,1708,CONSTANT
8500,1503,ASCENDING
8500,1546,DESCENDING
8500,1510,ASHAPE
8500,1510,VSHAPE
8600,2368,UNIFORM
8600,1526,CONSTANT
8600,1558,ASCENDING
8600,1519,DESCENDING
8600,1527,ASHAPE
8600,1561,VSHAPE
8700,2314,UNIFORM
8700,1546,CONSTANT
8700,1595,ASCENDING
8700,1536,DESCENDING
8700,1543,ASHAPE
8700,1592,VSHAPE
8800,2684,UNIFORM
8800,1633,CONSTANT
8800,1674,ASCENDING
8800,1567,DESCENDING
8800,1697,ASHAPE
8800,1563,VSHAPE
8900,2856,UNIFORM
8900,1679,CONSTANT
8900,1752,ASCENDING
8900,1668,DESCENDING
8900,1584,ASHAPE
8900,1624,VSHAPE
9000,2424,UNIFORM
9000,1633,CONSTANT
9000,1672,ASCENDING
9000,1615,DESCENDING
9000,1612,ASHAPE
9000,1845,VSHAPE
9100,2756,UNIFORM
9100,1659,CONSTANT
9100,1619,ASCENDING
9100,1617,DESCENDING
9100,1668,ASHAPE
9100,1646,VSHAPE
9200,2524,UNIFORM
9200,1652,CONSTANT
9200,1690,ASCENDING
9200,1642,DESCENDING
9200,1696,ASHAPE
9200,1641,VSHAPE
9300,2496,UNIFORM
9300,1723,CONSTANT
9300,1670,ASCENDING
9300,1664,DESCENDING
9300,1909,ASHAPE
9300,1735,VSHAPE
9400,2555,UNIFORM
9400,1684,CONSTANT
9400,1689,ASCENDING
9400,1684,DESCENDING
9400,1684,ASHAPE
9400,1712,VSHAPE
9500,2500,UNIFORM
9500,1753,CONSTANT
9500,1709,ASCENDING
9500,1751,DESCENDING
9500,1709,ASHAPE
9500,1943,VSHAPE
9600,2550,UNIFORM
9600,1732,CONSTANT
9600,1961,ASCENDING
9600,1726,DESCENDING
9600,1761,ASHAPE
9600,1761,VSHAPE
9700,2569,UNIFORM
9700,1810,CONSTANT
9700,1778,ASCENDING
9700,1781,DESCENDING
9700,1742,ASHAPE
9700,1903,VSHAPE
9800,2613,UNIFORM
9800,1768,CONSTANT
9800,1757,ASCENDING
9800,1967,DESCENDING
9800,1780,ASHAPE
9800,1764,VSHAPE
9900,2886,UNIFORM
9900,1784,CONSTANT
9900,1816,ASCENDING
9900,1791,DESCENDING
9900,1817,ASHAPE
9900,1765,VSHAPE
10000,2659,UNIFORM
10000,1808,CONSTANT
10000,2063,ASCENDING
10000,1787,DESCENDING
10000,1866,ASHAPE
10000,1792,VSHAPE
10100,2750,UNIFORM
10100,2244,CONSTANT
10100,2291,ASCENDING
10100,1849,DESCENDING
10100,1939,ASHAPE
10100,1812,VSHAPE
10200,2665,UNIFORM
10200,2024,CONSTANT
10200,1824,ASCENDING
10200,1845,DESCENDING
10200,1823,ASHAPE
10200,1848,VSHAPE
10300,2857,UNIFORM
10300,1886,CONSTANT
10300,1842,ASCENDING
10300,1936,DESCENDING
10300,1848,ASHAPE
10300,1883,VSHAPE
10400,2817,UNIFORM
10400,1996,CONSTANT
10400,1870,ASCENDING
10400,1894,DESCENDING
10400,1869,ASHAPE
10400,2265,VSHAPE
10500,3335,UNIFORM
10500,2020,CONSTANT
10500,1950,ASCENDING
10500,1886,DESCENDING
10500,1945,ASHAPE
10500,1893,VSHAPE
10600,3286,UNIFORM
10600,2058,CONSTANT
10600,1992,ASCENDING
10600,1916,DESCENDING
10600,1941,ASHAPE
10600,1909,VSHAPE
10700,2920,UNIFORM
10700,1931,CONSTANT
10700,1957,ASCENDING
10700,2022,DESCENDING
10700,2034,ASHAPE
10700,2024,VSHAPE
10800,2902,UNIFORM
10800,1984,CONSTANT
10800,1984,ASCENDING
10800,1984,DESCENDING
10800,2003,ASHAPE
10800,1971,VSHAPE
10900,2878,UNIFORM
10900,2011,CONSTANT
10900,2137,ASCENDING
10900,2316,DESCENDING
10900,2464,ASHAPE
10900,1965,VSHAPE
11000,2950,UNIFORM
11000,2041,CONSTANT
11000,2001,ASCENDING
11000,2112,DESCENDING
11000,1989,ASHAPE
11000,2044,VSHAPE
11100,2944,UNIFORM
11100,2051,CONSTANT
11100,2229,ASCENDING
11100,2050,DESCENDING
11100,2005,ASHAPE
11100,2019,VSHAPE
11200,3842,UNIFORM
11200,2093,CONSTANT
11200,2038,ASCENDING
11200,2065,DESCENDING
11200,2031,ASHAPE
11200,2092,VSHAPE
11300,3467,UNIFORM
11300,2572,CONSTANT
11300,2094,ASCENDING
11300,2053,DESCENDING
11300,2098,ASHAPE
11300,2057,VSHAPE
11400,3771,UNIFORM
11400,2108,CONSTANT
11400,2100,ASCENDING
11400,2111,DESCENDING
11400,2067,ASHAPE
11400,2105,VSHAPE
11500,3080,UNIFORM
11500,2117,CONSTANT
11500,2307,ASCENDING
11500,2132,DESCENDING
11500,2147,ASHAPE
11500,2080,VSHAPE
11600,3106,UNIFORM
11600,2156,CONSTANT
11600,2197,ASCENDING
11600,2148,DESCENDING
11600,2117,ASHAPE
11600,2123,VSHAPE
11700,3726,UNIFORM
11700,2260,CONSTANT
11700,2170,ASCENDING
11700,2185,DESCENDING
11700,2110,ASHAPE
11700,2189,VSHAPE
11800,3259,UNIFORM
11800,2165,CONSTANT
11800,2163,ASCENDING
11800,2118,DESCENDING
11800,2153,ASHAPE
11800,2118,VSHAPE
11900,3189,UNIFORM
11900,2140,CONSTANT
11900,2183,ASCENDING
11900,2161,DESCENDING
11900,2173,ASHAPE
11900,2275,VSHAPE
12000,3409,UNIFORM
12000,2161,CONSTANT
12000,2210,ASCENDING
12000,2155,DESCENDING
12000,2194,ASHAPE
12000,2183,VSHAPE
12100,3526,UNIFORM
12100,2221,CONSTANT
12100,2194,ASCENDING
12100,2196,DESCENDING
12100,2266,ASHAPE
12100,2212,VSHAPE
12200,3310,UNIFORM
12200,2195,CONSTANT
12200,2223,ASCENDING
12200,2259,DESCENDING
12200,2326,ASHAPE
12200,2244,VSHAPE
12300,3304,UNIFORM
12300,2312,CONSTANT
12300,2227,ASCENDING
12300,2765,DESCENDING
12300,2688,ASHAPE
12300,2268,VSHAPE
12400,3582,UNIFORM
12400,2242,CONSTANT
12400,2308,ASCENDING
12400,2238,DESCENDING
12400,2287,ASHAPE
12400,2305,VSHAPE
12500,3378,UNIFORM
12500,3207,CONSTANT
12500,2275,ASCENDING
12500,2322,DESCENDING
12500,2275,ASHAPE
12500,2306,VSHAPE
12600,3541,UNIFORM
12600,2315,CONSTANT
12600,2314,ASCENDING
12600,2325,DESCENDING
12600,2320,ASHAPE
12600,3186,VSHAPE
12700,3457,UNIFORM
12700,2359,CONSTANT
12700,2318,ASCENDING
12700,2347,DESCENDING
12700,2356,ASHAPE
12700,3157,VSHAPE
12800,3490,UNIFORM
12800,2365,CONSTANT
12800,2325,ASCENDING
12800,2462,DESCENDING
12800,3125,ASHAPE
12800,2328,VSHAPE
12900,3512,UNIFORM
12900,2354,CONSTANT
12900,2380,ASCENDING
12900,2447,DESCENDING
12900,2568,ASHAPE
12900,2403,VSHAPE
13000,3530,UNIFORM
